text,imageURN,folioReference
urn:cts:greekLit:tlg5026.msA:8.24,"urn:cite:hmt:vaimg.VA101RN-0273@0.1681,0.8008,0.6535,0.0339",urn:cite:hmt:msA.msA-101r
urn:cts:greekLit:tlg5026.msA:8.25,"urn:cite:hmt:vaimg.VA101RN-0273@0.1665,0.8177,0.6651,0.0357",urn:cite:hmt:msA.msA-101r
urn:cts:greekLit:tlg5026.msA:8.41,"urn:cite:hmt:vaimg.VA101VN-0604@0.1794,0.1322,0.6869,0.0571",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.42,"urn:cite:hmt:vaimg.VA101VN-0604@0.1886,0.1643,0.678,0.0395",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.43,"urn:cite:hmt:vaimg.VA101VN-0604@0.1851,0.1852,0.6817,0.0474",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.44,"urn:cite:hmt:vaimg.VA101VN-0604@0.18,0.2135,0.6737,0.1195",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.45,"urn:cite:hmt:vaimg.VA101VN-0604@0.1846,0.4638,0.2237,0.0772",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.46,"urn:cite:hmt:vaimg.VA101VN-0604@0.1897,0.5293,0.2331,0.0663",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.47,"urn:cite:hmt:vaimg.VA101VN-0604@0.1906,0.5784,0.2386,0.074",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.48,"urn:cite:hmt:vaimg.VA101VN-0604@0.1889,0.6451,0.2334,0.0644",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.49,"urn:cite:hmt:vaimg.VA101VN-0604@0.1869,0.6968,0.2537,0.0729",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.50,"urn:cite:hmt:vaimg.VA101VN-0604@0.1909,0.7438,0.6123,0.0554",urn:cite:hmt:msA.msA-101v
urn:cts:greekLit:tlg5026.msA:8.63,"urn:cite:hmt:vaimg.VA102RN-0274@0.1834,0.1,0.6292,0.0407",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.64,"urn:cite:hmt:vaimg.VA102RN-0274@0.1895,0.1195,0.5605,0.0309",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.65,"urn:cite:hmt:vaimg.VA102RN-0274@0.1849,0.1384,0.6383,0.043",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.5000,"urn:cite:hmt:vaimg.VA102RN-0274@0.5823,0.159,0.2105,0.0246",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.66,"urn:cite:hmt:vaimg.VA102RN-0274@0.1842,0.1693,0.6406,0.0642",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.67,"urn:cite:hmt:vaimg.VA102RN-0274@0.6211,0.2243,0.2212,0.1461",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.68,"urn:cite:hmt:vaimg.VA102RN-0274@0.6457,0.5515,0.2061,0.058",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.69,"urn:cite:hmt:vaimg.VA102RN-0274@0.6286,0.6009,0.2215,0.0513",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.70,"urn:cite:hmt:vaimg.VA102RN-0274@0.1881,0.6418,0.6807,0.1331",urn:cite:hmt:msA.msA-102r
urn:cts:greekLit:tlg5026.msA:8.78,"urn:cite:hmt:vaimg.VA102VN-0605@0.1723,0.1311,0.2397,0.1821",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.79,"urn:cite:hmt:vaimg.VA102VN-0605@0.4203,0.1236,0.4329,0.0702",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.80,"urn:cite:hmt:vaimg.VA102VN-0605@0.4317,0.1828,0.4271,0.0433",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.81,"urn:cite:hmt:vaimg.VA102VN-0605@0.1843,0.3051,0.226,0.0586",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.82,"urn:cite:hmt:vaimg.VA102VN-0605@0.1829,0.3536,0.2394,0.0635",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.83,"urn:cite:hmt:vaimg.VA102VN-0605@0.1874,0.4096,0.2391,0.1281",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.84,"urn:cite:hmt:vaimg.VA102VN-0605@0.1963,0.5128,0.2423,0.08",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.85,"urn:cite:hmt:vaimg.VA102VN-0605@0.1954,0.5816,0.2429,0.1437",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.86,"urn:cite:hmt:vaimg.VA102VN-0605@0.1897,0.7124,0.4833,0.0568",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.9000,"urn:cite:hmt:vaimg.VA102VN-0605@0.1943,0.7362,0.6883,0.0693",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.87,"urn:cite:hmt:vaimg.VA102VN-0605@0.1991,0.776,0.6737,0.0466",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.88,"urn:cite:hmt:vaimg.VA102VN-0605@0.194,0.7921,0.6834,0.0817",urn:cite:hmt:msA.msA-102v
urn:cts:greekLit:tlg5026.msA:8.101,"urn:cite:hmt:vaimg.VA103RN-0275@0.6206,0.411,0.2142,0.0834",urn:cite:hmt:msA.msA-103r
urn:cts:greekLit:tlg5026.msA:8.102,"urn:cite:hmt:vaimg.VA103RN-0275@0.6276,0.4823,0.2142,0.0706",urn:cite:hmt:msA.msA-103r
urn:cts:greekLit:tlg5026.msA:8.103,"urn:cite:hmt:vaimg.VA103RN-0275@0.6266,0.5417,0.2222,0.1127",urn:cite:hmt:msA.msA-103r
urn:cts:greekLit:tlg5026.msA:8.104,"urn:cite:hmt:vaimg.VA103RN-0275@0.6136,0.6461,0.2362,0.0383",urn:cite:hmt:msA.msA-103r
urn:cts:greekLit:tlg5026.msA:8.105,"urn:cite:hmt:vaimg.VA103RN-0275@0.6086,0.6724,0.2402,0.0676",urn:cite:hmt:msA.msA-103r
urn:cts:greekLit:tlg5026.msA:8.106,"urn:cite:hmt:vaimg.VA103RN-0275@0.1752,0.7258,0.6657,0.0481",urn:cite:hmt:msA.msA-103r
urn:cts:greekLit:tlg5026.msA:8.107,"urn:cite:hmt:vaimg.VA103RN-0275@0.1702,0.7483,0.6707,0.0503",urn:cite:hmt:msA.msA-103r
urn:cts:greekLit:tlg5026.msA:8.116,"urn:cite:hmt:vaimg.VA103VN-0606@0.204,0.2497,0.1809,0.0802",urn:cite:hmt:msA.msA-103v
urn:cts:greekLit:tlg5026.msA:8.117,"urn:cite:hmt:vaimg.VA103VN-0606@0.206,0.3207,0.1889,0.0637",urn:cite:hmt:msA.msA-103v
urn:cts:greekLit:tlg5026.msA:8.118,"urn:cite:hmt:vaimg.VA103VN-0606@0.2014,0.3735,0.1989,0.1189",urn:cite:hmt:msA.msA-103v
urn:cts:greekLit:tlg5026.msA:8.119,"urn:cite:hmt:vaimg.VA103VN-0606@0.1986,0.4737,0.2094,0.0897",urn:cite:hmt:msA.msA-103v
urn:cts:greekLit:tlg5026.msA:8.120,"urn:cite:hmt:vaimg.VA103VN-0606@0.2194,0.7361,0.6097,0.0665",urn:cite:hmt:msA.msA-103v
urn:cts:greekLit:tlg5026.msA:8.121,"urn:cite:hmt:vaimg.VA103VN-0606@0.2329,0.7674,0.5966,0.0485",urn:cite:hmt:msA.msA-103v
urn:cts:greekLit:tlg5026.msA:8.122,"urn:cite:hmt:vaimg.VA103VN-0606@0.2137,0.7979,0.6314,0.0498",urn:cite:hmt:msA.msA-103v
urn:cts:greekLit:tlg5026.msA:8.131,"urn:cite:hmt:vaimg.VA104RN-0276@0.1762,0.1103,0.6368,0.0527",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.132,"urn:cite:hmt:vaimg.VA104RN-0276@0.1935,0.1465,0.6173,0.0453",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.133,"urn:cite:hmt:vaimg.VA104RN-0276@0.1852,0.1698,0.6486,0.1931",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.134,"urn:cite:hmt:vaimg.VA104RN-0276@0.5971,0.3421,0.2289,0.0367",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.135,"urn:cite:hmt:vaimg.VA104RN-0276@0.6047,0.3731,0.2286,0.0828",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.136,"urn:cite:hmt:vaimg.VA104RN-0276@0.6107,0.4498,0.2406,0.164",urn:cite:hmt:msA.msA-104r
